instance,tree_file,inference_time_seconds
G_l_512_n_100_0_0.03_63.phy,G_l_512_n_100_0_0.03_63.tre,182.875206
G_l_512_n_100_0_0.03_75.phy,G_l_512_n_100_0_0.03_75.tre,179.567499
G_l_512_n_100_0_0.03_77.phy,G_l_512_n_100_0_0.03_77.tre,194.325021
G_l_512_n_100_0_0.03_79.phy,G_l_512_n_100_0_0.03_79.tre,185.437243
G_l_512_n_100_0_0.03_88.phy,G_l_512_n_100_0_0.03_88.tre,174.025974
G_l_512_n_100_0_0.03_94.phy,G_l_512_n_100_0_0.03_94.tre,173.324619
G_l_512_n_100_0_0.04_0.phy,G_l_512_n_100_0_0.04_0.tre,204.456666
G_l_512_n_100_0_0.04_10.phy,G_l_512_n_100_0_0.04_10.tre,232.414801
G_l_512_n_100_0_0.04_101.phy,G_l_512_n_100_0_0.04_101.tre,176.344249
G_l_512_n_100_0_0.04_113.phy,G_l_512_n_100_0_0.04_113.tre,216.434289
G_l_512_n_100_0_0.04_124.phy,G_l_512_n_100_0_0.04_124.tre,204.346693
G_l_512_n_100_0_0.04_14.phy,G_l_512_n_100_0_0.04_14.tre,201.055835
G_l_512_n_100_0_0.04_16.phy,G_l_512_n_100_0_0.04_16.tre,251.268730
G_l_512_n_100_0_0.04_17.phy,G_l_512_n_100_0_0.04_17.tre,199.211429
G_l_512_n_100_0_0.04_19.phy,G_l_512_n_100_0_0.04_19.tre,189.566731
G_l_512_n_100_0_0.04_23.phy,G_l_512_n_100_0_0.04_23.tre,179.075580
G_l_512_n_100_0_0.04_3.phy,G_l_512_n_100_0_0.04_3.tre,170.124531
G_l_512_n_100_0_0.04_31.phy,G_l_512_n_100_0_0.04_31.tre,198.705569
G_l_512_n_100_0_0.04_4.phy,G_l_512_n_100_0_0.04_4.tre,172.208928
G_l_512_n_100_0_0.04_49.phy,G_l_512_n_100_0_0.04_49.tre,174.574060
G_l_512_n_100_0_0.04_50.phy,G_l_512_n_100_0_0.04_50.tre,227.407797
G_l_512_n_100_0_0.04_62.phy,G_l_512_n_100_0_0.04_62.tre,165.044127
G_l_512_n_100_0_0.04_64.phy,G_l_512_n_100_0_0.04_64.tre,186.210469
G_l_512_n_100_0_0.04_7.phy,G_l_512_n_100_0_0.04_7.tre,194.183888
G_l_512_n_100_0_0.04_70.phy,G_l_512_n_100_0_0.04_70.tre,172.656378
G_l_512_n_100_0_0.04_71.phy,G_l_512_n_100_0_0.04_71.tre,173.234682
G_l_512_n_100_0_0.04_78.phy,G_l_512_n_100_0_0.04_78.tre,190.047070
G_l_512_n_100_0_0.04_82.phy,G_l_512_n_100_0_0.04_82.tre,180.304364
G_l_512_n_100_0_0.04_83.phy,G_l_512_n_100_0_0.04_83.tre,164.531409
G_l_512_n_100_0_0.04_84.phy,G_l_512_n_100_0_0.04_84.tre,183.751717
G_l_512_n_100_0_0.04_85.phy,G_l_512_n_100_0_0.04_85.tre,197.777894
G_l_512_n_100_0_0.04_9.phy,G_l_512_n_100_0_0.04_9.tre,175.574037
G_l_512_n_100_0_0.04_90.phy,G_l_512_n_100_0_0.04_90.tre,168.381949
G_l_512_n_100_0_0.04_93.phy,G_l_512_n_100_0_0.04_93.tre,165.329694
G_l_512_n_100_0_0_102.phy,G_l_512_n_100_0_0_102.tre,173.146888
G_l_512_n_100_0_0_104.phy,G_l_512_n_100_0_0_104.tre,195.708577
G_l_512_n_100_0_0_111.phy,G_l_512_n_100_0_0_111.tre,211.009729
G_l_512_n_100_0_0_115.phy,G_l_512_n_100_0_0_115.tre,181.241746
G_l_512_n_100_0_0_119.phy,G_l_512_n_100_0_0_119.tre,188.071733
G_l_512_n_100_0_0_121.phy,G_l_512_n_100_0_0_121.tre,165.509877
G_l_512_n_100_0_0_13.phy,G_l_512_n_100_0_0_13.tre,180.446887
G_l_512_n_100_0_0_18.phy,G_l_512_n_100_0_0_18.tre,200.746913
G_l_512_n_100_0_0_21.phy,G_l_512_n_100_0_0_21.tre,189.370189
G_l_512_n_100_0_0_24.phy,G_l_512_n_100_0_0_24.tre,204.885436
G_l_512_n_100_0_0_28.phy,G_l_512_n_100_0_0_28.tre,186.630306
G_l_512_n_100_0_0_36.phy,G_l_512_n_100_0_0_36.tre,189.157917
G_l_512_n_100_0_0_39.phy,G_l_512_n_100_0_0_39.tre,230.526249
G_l_512_n_100_0_0_43.phy,G_l_512_n_100_0_0_43.tre,187.207736
G_l_512_n_100_0_0_44.phy,G_l_512_n_100_0_0_44.tre,224.188593
G_l_512_n_100_0_0_47.phy,G_l_512_n_100_0_0_47.tre,212.237067
G_l_512_n_100_0_0_5.phy,G_l_512_n_100_0_0_5.tre,141.442661
G_l_512_n_100_0_0_56.phy,G_l_512_n_100_0_0_56.tre,182.786284
G_l_512_n_100_0_0_59.phy,G_l_512_n_100_0_0_59.tre,182.848882
G_l_512_n_100_0_0_65.phy,G_l_512_n_100_0_0_65.tre,194.155128
G_l_512_n_100_0_0_67.phy,G_l_512_n_100_0_0_67.tre,207.242564
G_l_512_n_100_0_0_69.phy,G_l_512_n_100_0_0_69.tre,178.715638
G_l_512_n_100_0_0_74.phy,G_l_512_n_100_0_0_74.tre,192.322928
G_l_512_n_100_0_0_80.phy,G_l_512_n_100_0_0_80.tre,205.763243
G_l_512_n_100_0_0_81.phy,G_l_512_n_100_0_0_81.tre,177.664618
G_l_512_n_100_0_0_87.phy,G_l_512_n_100_0_0_87.tre,163.567437
G_l_512_n_100_0_0_89.phy,G_l_512_n_100_0_0_89.tre,174.772554
G_l_512_n_100_0_0_98.phy,G_l_512_n_100_0_0_98.tre,179.879338
instance,tree_file,inference_time_seconds
G_l_1024_n_100_0_0.01_0.phy,G_l_1024_n_100_0_0.01_0.tre,232.979166
G_l_1024_n_100_0_0.01_106.phy,G_l_1024_n_100_0_0.01_106.tre,354.770295
G_l_1024_n_100_0_0.01_109.phy,G_l_1024_n_100_0_0.01_109.tre,319.743195
G_l_1024_n_100_0_0.01_115.phy,G_l_1024_n_100_0_0.01_115.tre,325.639794
G_l_1024_n_100_0_0.01_116.phy,G_l_1024_n_100_0_0.01_116.tre,272.457331
G_l_1024_n_100_0_0.01_117.phy,G_l_1024_n_100_0_0.01_117.tre,257.541601
G_l_1024_n_100_0_0.01_119.phy,G_l_1024_n_100_0_0.01_119.tre,395.729981
G_l_1024_n_100_0_0.01_124.phy,G_l_1024_n_100_0_0.01_124.tre,405.637244
G_l_1024_n_100_0_0.01_15.phy,G_l_1024_n_100_0_0.01_15.tre,324.151413
G_l_1024_n_100_0_0.01_24.phy,G_l_1024_n_100_0_0.01_24.tre,260.671124
G_l_1024_n_100_0_0.01_28.phy,G_l_1024_n_100_0_0.01_28.tre,269.133754
G_l_1024_n_100_0_0.01_29.phy,G_l_1024_n_100_0_0.01_29.tre,261.805609
G_l_1024_n_100_0_0.01_37.phy,G_l_1024_n_100_0_0.01_37.tre,291.767351
G_l_1024_n_100_0_0.01_43.phy,G_l_1024_n_100_0_0.01_43.tre,312.342547
G_l_1024_n_100_0_0.01_45.phy,G_l_1024_n_100_0_0.01_45.tre,276.652318
G_l_1024_n_100_0_0.01_51.phy,G_l_1024_n_100_0_0.01_51.tre,259.948530
G_l_1024_n_100_0_0.01_58.phy,G_l_1024_n_100_0_0.01_58.tre,266.690519
G_l_1024_n_100_0_0.01_59.phy,G_l_1024_n_100_0_0.01_59.tre,249.152129
G_l_1024_n_100_0_0.01_62.phy,G_l_1024_n_100_0_0.01_62.tre,401.376692
G_l_1024_n_100_0_0.01_66.phy,G_l_1024_n_100_0_0.01_66.tre,299.439483
G_l_1024_n_100_0_0.01_68.phy,G_l_1024_n_100_0_0.01_68.tre,297.845821
G_l_1024_n_100_0_0.01_75.phy,G_l_1024_n_100_0_0.01_75.tre,271.722041
G_l_1024_n_100_0_0.01_76.phy,G_l_1024_n_100_0_0.01_76.tre,272.816392
G_l_1024_n_100_0_0.01_8.phy,G_l_1024_n_100_0_0.01_8.tre,316.186985
G_l_1024_n_100_0_0.01_82.phy,G_l_1024_n_100_0_0.01_82.tre,436.245291
G_l_1024_n_100_0_0.01_83.phy,G_l_1024_n_100_0_0.01_83.tre,267.045271
G_l_1024_n_100_0_0.01_84.phy,G_l_1024_n_100_0_0.01_84.tre,324.423682
G_l_1024_n_100_0_0.01_95.phy,G_l_1024_n_100_0_0.01_95.tre,257.694963
G_l_1024_n_100_0_0.02_1.phy,G_l_1024_n_100_0_0.02_1.tre,289.383005
G_l_1024_n_100_0_0.02_100.phy,G_l_1024_n_100_0_0.02_100.tre,306.377382
G_l_1024_n_100_0_0.02_101.phy,G_l_1024_n_100_0_0.02_101.tre,254.225406
G_l_1024_n_100_0_0.02_104.phy,G_l_1024_n_100_0_0.02_104.tre,285.976941
G_l_1024_n_100_0_0.02_110.phy,G_l_1024_n_100_0_0.02_110.tre,265.725993
G_l_1024_n_100_0_0.02_122.phy,G_l_1024_n_100_0_0.02_122.tre,290.520573
G_l_1024_n_100_0_0.02_16.phy,G_l_1024_n_100_0_0.02_16.tre,274.454107
G_l_1024_n_100_0_0.02_17.phy,G_l_1024_n_100_0_0.02_17.tre,252.859510
G_l_1024_n_100_0_0.02_18.phy,G_l_1024_n_100_0_0.02_18.tre,280.982799
G_l_1024_n_100_0_0.02_2.phy,G_l_1024_n_100_0_0.02_2.tre,266.482258
G_l_1024_n_100_0_0.02_20.phy,G_l_1024_n_100_0_0.02_20.tre,247.983469
G_l_1024_n_100_0_0.02_31.phy,G_l_1024_n_100_0_0.02_31.tre,273.249806
G_l_1024_n_100_0_0.02_4.phy,G_l_1024_n_100_0_0.02_4.tre,261.197637
G_l_1024_n_100_0_0.02_41.phy,G_l_1024_n_100_0_0.02_41.tre,286.429881
