instance,tree_file,inference_time_seconds
G_l_512_n_50_0_0.03_122.phy,G_l_512_n_50_0_0.03_122.tre,174.717864
G_l_512_n_50_0_0.03_127.phy,G_l_512_n_50_0_0.03_127.tre,165.504973
G_l_512_n_50_0_0.03_14.phy,G_l_512_n_50_0_0.03_14.tre,165.372626
G_l_512_n_50_0_0.03_20.phy,G_l_512_n_50_0_0.03_20.tre,160.860368
G_l_512_n_50_0_0.03_22.phy,G_l_512_n_50_0_0.03_22.tre,158.107810
G_l_512_n_50_0_0.03_3.phy,G_l_512_n_50_0_0.03_3.tre,162.139250
G_l_512_n_50_0_0.03_31.phy,G_l_512_n_50_0_0.03_31.tre,159.133565
G_l_512_n_50_0_0.03_39.phy,G_l_512_n_50_0_0.03_39.tre,165.164302
G_l_512_n_50_0_0.03_4.phy,G_l_512_n_50_0_0.03_4.tre,177.581499
G_l_512_n_50_0_0.03_43.phy,G_l_512_n_50_0_0.03_43.tre,176.244562
G_l_512_n_50_0_0.03_47.phy,G_l_512_n_50_0_0.03_47.tre,170.557385
G_l_512_n_50_0_0.03_5.phy,G_l_512_n_50_0_0.03_5.tre,161.269237
G_l_512_n_50_0_0.03_52.phy,G_l_512_n_50_0_0.03_52.tre,162.904824
G_l_512_n_50_0_0.03_55.phy,G_l_512_n_50_0_0.03_55.tre,163.212539
G_l_512_n_50_0_0.03_69.phy,G_l_512_n_50_0_0.03_69.tre,168.065364
G_l_512_n_50_0_0.03_77.phy,G_l_512_n_50_0_0.03_77.tre,164.352562
G_l_512_n_50_0_0.03_81.phy,G_l_512_n_50_0_0.03_81.tre,168.001456
G_l_512_n_50_0_0.03_87.phy,G_l_512_n_50_0_0.03_87.tre,156.710022
G_l_512_n_50_0_0.03_99.phy,G_l_512_n_50_0_0.03_99.tre,165.608533
G_l_512_n_50_0_0.04_1.phy,G_l_512_n_50_0_0.04_1.tre,167.656472
G_l_512_n_50_0_0.04_100.phy,G_l_512_n_50_0_0.04_100.tre,167.450751
G_l_512_n_50_0_0.04_101.phy,G_l_512_n_50_0_0.04_101.tre,165.064548
G_l_512_n_50_0_0.04_104.phy,G_l_512_n_50_0_0.04_104.tre,158.363871
G_l_512_n_50_0_0.04_106.phy,G_l_512_n_50_0_0.04_106.tre,172.378115
G_l_512_n_50_0_0.04_108.phy,G_l_512_n_50_0_0.04_108.tre,170.491614
G_l_512_n_50_0_0.04_11.phy,G_l_512_n_50_0_0.04_11.tre,164.468087
G_l_512_n_50_0_0.04_111.phy,G_l_512_n_50_0_0.04_111.tre,163.110871
G_l_512_n_50_0_0.04_117.phy,G_l_512_n_50_0_0.04_117.tre,162.516565
G_l_512_n_50_0_0.04_119.phy,G_l_512_n_50_0_0.04_119.tre,171.099951
G_l_512_n_50_0_0.04_126.phy,G_l_512_n_50_0_0.04_126.tre,163.656527
G_l_512_n_50_0_0.04_13.phy,G_l_512_n_50_0_0.04_13.tre,160.399793
G_l_512_n_50_0_0.04_15.phy,G_l_512_n_50_0_0.04_15.tre,159.682561
G_l_512_n_50_0_0.04_16.phy,G_l_512_n_50_0_0.04_16.tre,175.832000
G_l_512_n_50_0_0.04_26.phy,G_l_512_n_50_0_0.04_26.tre,163.485700
G_l_512_n_50_0_0.04_30.phy,G_l_512_n_50_0_0.04_30.tre,171.436137
G_l_512_n_50_0_0.04_45.phy,G_l_512_n_50_0_0.04_45.tre,164.812704
G_l_512_n_50_0_0.04_51.phy,G_l_512_n_50_0_0.04_51.tre,164.878645
G_l_512_n_50_0_0.04_56.phy,G_l_512_n_50_0_0.04_56.tre,171.205190
G_l_512_n_50_0_0.04_58.phy,G_l_512_n_50_0_0.04_58.tre,167.689055
G_l_512_n_50_0_0.04_59.phy,G_l_512_n_50_0_0.04_59.tre,180.803076
G_l_512_n_50_0_0.04_61.phy,G_l_512_n_50_0_0.04_61.tre,168.427477
G_l_512_n_50_0_0.04_62.phy,G_l_512_n_50_0_0.04_62.tre,168.564976
G_l_512_n_50_0_0.04_79.phy,G_l_512_n_50_0_0.04_79.tre,162.773301
G_l_512_n_50_0_0.04_8.phy,G_l_512_n_50_0_0.04_8.tre,173.584668
G_l_512_n_50_0_0.04_89.phy,G_l_512_n_50_0_0.04_89.tre,165.647197
G_l_512_n_50_0_0.04_91.phy,G_l_512_n_50_0_0.04_91.tre,171.715122
G_l_512_n_50_0_0.04_93.phy,G_l_512_n_50_0_0.04_93.tre,173.496177
G_l_512_n_50_0_0.04_98.phy,G_l_512_n_50_0_0.04_98.tre,161.477720
G_l_512_n_50_0_0_115.phy,G_l_512_n_50_0_0_115.tre,149.782300
G_l_512_n_50_0_0_121.phy,G_l_512_n_50_0_0_121.tre,169.558250
G_l_512_n_50_0_0_17.phy,G_l_512_n_50_0_0_17.tre,177.271601
G_l_512_n_50_0_0_2.phy,G_l_512_n_50_0_0_2.tre,176.530887
G_l_512_n_50_0_0_23.phy,G_l_512_n_50_0_0_23.tre,154.551673
G_l_512_n_50_0_0_33.phy,G_l_512_n_50_0_0_33.tre,157.537463
G_l_512_n_50_0_0_34.phy,G_l_512_n_50_0_0_34.tre,178.129421
G_l_512_n_50_0_0_40.phy,G_l_512_n_50_0_0_40.tre,168.690665
G_l_512_n_50_0_0_41.phy,G_l_512_n_50_0_0_41.tre,171.248842
G_l_512_n_50_0_0_44.phy,G_l_512_n_50_0_0_44.tre,171.174581
G_l_512_n_50_0_0_49.phy,G_l_512_n_50_0_0_49.tre,157.546984
G_l_512_n_50_0_0_54.phy,G_l_512_n_50_0_0_54.tre,176.177014
G_l_512_n_50_0_0_64.phy,G_l_512_n_50_0_0_64.tre,165.955886
G_l_512_n_50_0_0_68.phy,G_l_512_n_50_0_0_68.tre,155.921472
G_l_512_n_50_0_0_70.phy,G_l_512_n_50_0_0_70.tre,167.881686
G_l_512_n_50_0_0_71.phy,G_l_512_n_50_0_0_71.tre,169.581022
G_l_512_n_50_0_0_75.phy,G_l_512_n_50_0_0_75.tre,166.559471
G_l_512_n_50_0_0_83.phy,G_l_512_n_50_0_0_83.tre,162.020626
G_l_512_n_50_0_0_88.phy,G_l_512_n_50_0_0_88.tre,157.226362
G_l_512_n_50_0_0_97.phy,G_l_512_n_50_0_0_97.tre,166.545595
instance,tree_file,inference_time_seconds
