instance,tree_file,inference_time_seconds
G_l_512_n_20_0_0_64.phy,G_l_512_n_20_0_0_64.tre,0.157357
G_l_512_n_20_0_0_76.phy,G_l_512_n_20_0_0_76.tre,0.156668
G_l_512_n_20_0_0_78.phy,G_l_512_n_20_0_0_78.tre,0.159401
G_l_512_n_20_0_0_84.phy,G_l_512_n_20_0_0_84.tre,0.158661
G_l_512_n_20_0_0_85.phy,G_l_512_n_20_0_0_85.tre,0.157197
G_l_512_n_20_0_0_89.phy,G_l_512_n_20_0_0_89.tre,0.156837
G_l_512_n_20_0_0_9.phy,G_l_512_n_20_0_0_9.tre,0.156942
G_l_512_n_20_0_0_91.phy,G_l_512_n_20_0_0_91.tre,0.156937
G_l_512_n_20_0_0_96.phy,G_l_512_n_20_0_0_96.tre,0.157711
G_l_512_n_20_0_0_98.phy,G_l_512_n_20_0_0_98.tre,0.156867
instance,tree_file,inference_time_seconds
G_l_1024_n_20_0_0.01_101.phy,G_l_1024_n_20_0_0.01_101.tre,1.541137
G_l_1024_n_20_0_0.01_104.phy,G_l_1024_n_20_0_0.01_104.tre,0.204044
G_l_1024_n_20_0_0.01_107.phy,G_l_1024_n_20_0_0.01_107.tre,0.200711
G_l_1024_n_20_0_0.01_108.phy,G_l_1024_n_20_0_0.01_108.tre,0.201518
G_l_1024_n_20_0_0.01_110.phy,G_l_1024_n_20_0_0.01_110.tre,0.200715
G_l_1024_n_20_0_0.01_115.phy,G_l_1024_n_20_0_0.01_115.tre,0.200763
G_l_1024_n_20_0_0.01_120.phy,G_l_1024_n_20_0_0.01_120.tre,0.204905
G_l_1024_n_20_0_0.01_13.phy,G_l_1024_n_20_0_0.01_13.tre,0.201119
G_l_1024_n_20_0_0.01_14.phy,G_l_1024_n_20_0_0.01_14.tre,0.200411
G_l_1024_n_20_0_0.01_21.phy,G_l_1024_n_20_0_0.01_21.tre,0.201607
G_l_1024_n_20_0_0.01_23.phy,G_l_1024_n_20_0_0.01_23.tre,0.200225
G_l_1024_n_20_0_0.01_26.phy,G_l_1024_n_20_0_0.01_26.tre,0.201269
G_l_1024_n_20_0_0.01_29.phy,G_l_1024_n_20_0_0.01_29.tre,0.201669
G_l_1024_n_20_0_0.01_44.phy,G_l_1024_n_20_0_0.01_44.tre,0.198909
G_l_1024_n_20_0_0.01_45.phy,G_l_1024_n_20_0_0.01_45.tre,0.375188
G_l_1024_n_20_0_0.01_58.phy,G_l_1024_n_20_0_0.01_58.tre,0.201215
G_l_1024_n_20_0_0.01_61.phy,G_l_1024_n_20_0_0.01_61.tre,0.199975
G_l_1024_n_20_0_0.01_64.phy,G_l_1024_n_20_0_0.01_64.tre,0.200151
G_l_1024_n_20_0_0.01_7.phy,G_l_1024_n_20_0_0.01_7.tre,0.204910
G_l_1024_n_20_0_0.01_71.phy,G_l_1024_n_20_0_0.01_71.tre,0.199776
G_l_1024_n_20_0_0.01_78.phy,G_l_1024_n_20_0_0.01_78.tre,0.198410
G_l_1024_n_20_0_0.01_80.phy,G_l_1024_n_20_0_0.01_80.tre,0.200337
G_l_1024_n_20_0_0.01_89.phy,G_l_1024_n_20_0_0.01_89.tre,0.206856
G_l_1024_n_20_0_0.02_10.phy,G_l_1024_n_20_0_0.02_10.tre,0.199667
G_l_1024_n_20_0_0.02_100.phy,G_l_1024_n_20_0_0.02_100.tre,0.199953
G_l_1024_n_20_0_0.02_103.phy,G_l_1024_n_20_0_0.02_103.tre,0.201867
G_l_1024_n_20_0_0.02_109.phy,G_l_1024_n_20_0_0.02_109.tre,0.199573
G_l_1024_n_20_0_0.02_11.phy,G_l_1024_n_20_0_0.02_11.tre,0.200613
G_l_1024_n_20_0_0.02_117.phy,G_l_1024_n_20_0_0.02_117.tre,0.199411
G_l_1024_n_20_0_0.02_123.phy,G_l_1024_n_20_0_0.02_123.tre,0.204229
G_l_1024_n_20_0_0.02_127.phy,G_l_1024_n_20_0_0.02_127.tre,0.201342
G_l_1024_n_20_0_0.02_17.phy,G_l_1024_n_20_0_0.02_17.tre,0.200212
G_l_1024_n_20_0_0.02_32.phy,G_l_1024_n_20_0_0.02_32.tre,0.200967
G_l_1024_n_20_0_0.02_35.phy,G_l_1024_n_20_0_0.02_35.tre,0.200472
G_l_1024_n_20_0_0.02_39.phy,G_l_1024_n_20_0_0.02_39.tre,0.200264
G_l_1024_n_20_0_0.02_40.phy,G_l_1024_n_20_0_0.02_40.tre,0.200064
G_l_1024_n_20_0_0.02_46.phy,G_l_1024_n_20_0_0.02_46.tre,0.200661
G_l_1024_n_20_0_0.02_48.phy,G_l_1024_n_20_0_0.02_48.tre,0.202594
G_l_1024_n_20_0_0.02_50.phy,G_l_1024_n_20_0_0.02_50.tre,0.201101
G_l_1024_n_20_0_0.02_54.phy,G_l_1024_n_20_0_0.02_54.tre,0.200008
G_l_1024_n_20_0_0.02_56.phy,G_l_1024_n_20_0_0.02_56.tre,0.200604
